,Instruction,TF_IDF_GeneratedRecipe,Rating,FineTuned_BART_GeneratedRecipe,Rating,PreTrained_BART_GeneratedRecipe,Rating
0,"Tags: ['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'pancakes-and-waffles', 'breakfast', 'easy', 'kid-friendly', 'dietary', 'low-sodium', 'low-in-something'] Nutrition: low-calories, low-total fat, high-sugar, low-sodium, low-protein, low-carbohydrates Ingredients:  'eggs','nonstick cooking spray', 'evaporated milk', 'strawberries', 'nutmeg', 'shredded wheat cereal', 'italian bread' Rating: 5.0","Name: apple a day  milk shake Minutes: 0 Ingredients: ['milk', 'vanilla ice cream', 'frozen apple juice concentrate', 'apple'] Steps: ['combine ingredients in blender', 'cover and blend until smooth', 'sprinkle with ground cinnamon', 'makes about 2 cups']",3,": Name: best waffles ever Minutes: 40 Ingredients: ['all-purpose flour', 'baking powder', ""confectioners' sugar"",'milk', ', 'eggs'] Steps: [""preheat oven to 400f mix flour, baking powder, sugar, and salt together in a large bowl and set aside until you're ready to use the batter, but don't overmix"", ""in a separate bowl, whisk together the milk, eggs, egg yolks, flour and baking soda, then add the dry ingredients to the wet ingredients and stir just until the mixture is just moistened, about 5 minutes, or until it's just mixed together and a little lumpy on the bottom of the waffle iron, depending on how you like your pancake batter to be done""]",4,"Tags: ['60-minutes-or-less', 'time-to-make', '/course', ', 'preparation"", 'pancakes-and-waffles', ""breakfast',�easy', ‘kid-friendly','dietary', `low-sodium', ['high-protein']",0
1,"Tags: ['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'very-low-carbs', 'main-dish', 'beef', 'american', 'european', 'kid-friendly', 'chili', 'dietary', 'low-calorie', 'low-carb', 'midwestern', 'ground-beef', 'low-in-something', 'meat', 'novelty', '4-hours-or-less'] Nutrition: low-calories, low-sugar, low-sodium, high-saturated fat, low-carbohydrates Ingredients:  'cider vinegar', 'ground beef', 'salt', 'tomato paste', 'red pepper','water', 'ground allspice', 'cinnamon', 'black pepper' Rating: 4.2","Name: forgotten  minestrone Minutes: 495 Ingredients: ['beef stew meat', 'water', 'tomatoes', 'beef bouillon cube', 'onion', 'dried parsley', 'salt', 'ground thyme', 'ground pepper', 'zucchini', 'cabbage', 'garbanzo beans', 'elbow macaroni', 'parmesan cheese'] Steps: ['in a slow cooker , combine the first nine ingredients', 'cover and cook on low for 7-9 hours or until meat is tender', 'add zucchini , cabbage , beans and macaroni', 'cook on high 30-45 minutes more or until the vegetables are tender', 'sprinkle individual servings with parmesan cheese']",5,": Name: beef stroganoff Minutes: 255 Ingredients: ['beef steaks','salt and pepper', ""lawry's seasoned breadcrumbs"", 'butter'] Steps: [""season beef with salt, pepper, and bread crumbs in a shallow dish and set aside in the refrigerator to marinate for at least 1 hour, or up to 24 hours, depending on the size of your steak"", ""preheat oven to 350 degrees fahrenheit and spray a large baking dish with nonstick cooking spray, but don't overbake the beef or the meat will fall apart when you're done cooking it""]",5,"Tags: ['weeknight', 'time-to-make', '/course', ','main-ingredient"", 'cuisine', ""preparation',�occasion', “north-american', '.very-low-carbs', `main-,dish-and-beef-casserole','america'], 'café', 'tastes' and 'dessert',",0
2,"Tags: ['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'low-protein', 'lunch', 'salads', 'eggs-dairy', 'fruit', 'greek', 'easy', 'european', 'diabetic', 'vegetarian', 'cheese', 'dietary', 'low-sodium', 'low-cholesterol', 'low-calorie', 'low-carb', 'healthy-2', 'low-in-something', 'melons', 'novelty', 'taste-mood', 'savory', 'sweet', 'presentation', 'served-cold'] Nutrition: low-calories, low-total fat, low-sodium, low-protein, low-carbohydrates Ingredients: 'red onion', 'fresh parsley', 'extra virgin olive oil' Rating: 5.0","Name: apple a day  milk shake Minutes: 0 Ingredients: ['milk', 'vanilla ice cream', 'frozen apple juice concentrate', 'apple'] Steps: ['combine ingredients in blender', 'cover and blend until smooth', 'sprinkle with ground cinnamon', 'makes about 2 cups']",3,": Name: german salad Minutes: 15 Ingredients: ['mayonnaise','sour cream', ""confectioners' sugar"", 'lemon juice', ', 'fresh parsley leaves'] Steps ['in a large bowl, whisk together mayo, sour cream, sugar, lemon juice, and salt and pepper until well blended']",5,"Tags: ['15-minutes-or-less', 'time-to-make', ‘course', ""main-ingredient"", 'cuisine', `preparation',�occasion', '.low-carb', ',lunch', '/salads','eggs-dairy',",0
3,"Tags: ['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'main-dish', 'pasta', 'poultry', 'easy', 'potluck', 'chicken', 'one-dish-meal', 'inexpensive', 'meat', 'pasta-rice-and-grains', 'to-go'] Nutrition: low-calories, low-sugar, low-sodium, high-protein, high-saturated fat, low-carbohydrates Ingredients:  'condensed cream of mushroom soup', 'celery salt', 'onion' Rating: 4.0","Name: crispy crunchy  chicken Minutes: 35 Ingredients: ['boneless skinless chicken breast halves', 'condensed cream of chicken soup', 'egg', 'seasoning salt', 'all-purpose flour', 'cornstarch', 'garlic powder', 'paprika', 'salt and pepper', 'oil'] Steps: ['combine soup , egg and seasoned salt in a bowl and set aside', 'mix together flour , cornstarch , garlic powder , paprika , salt and pepper in a resealable plastic bag', 'dip chicken pieces into soup mixture and turn so as to coat all over', 'place chicken pieces in bag with flour mixture , seal bag and shake to coat chicken', 'place coated pieces of chicken on a platter and allow to set until the coating becomes doughy', 'heat oil in a deep fryer or in a skillet over medium heat , using enough oil to cover chicken pieces when fried', 'once chicken is doughy , fry pieces in oil for approx 5-8 minutes or until cooked through and juices run clear', 'drain pieces on paper towel and serve']",5,": Name: chicken and noodles Minutes: 45 Ingredients: ['boneless skinless chicken breasts', 'butter', ""campbell's cream of chicken soup"", 'frozen chopped broccoli florets'] Steps ['preheat oven to 350 degrees fahrenheit and spray a 13 x 9 x 2-inch baking dish with nonstick cooking spray, then set aside to marinate for at least 30 minutes, or up to 24 hours', ['in a large skillet, melt butter over medium-high heat and saute chicken until no longer pink, about 5 minutes per side, and then transfer chicken to a plate and add soup, broccoli and broccoli to the skillet and cook, stirring occasionally, until broccoli is crisp-tender and chicken is cooked through, 5 to 7 minutes more']",5,"Tags: ['60-minutes-or-less', 'time-to-make','course', ""main-ingredient'], 'preparation' 'candy-infused-sliced-up-spaghetti-casserole-type-of-the-day-in-a-ring-occasion', ','real-dish', “pasta"", 'poultry',�easy',...potluck', `chicken",0
4,"Tags: ['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'poultry', 'french', 'european', 'dinner-party', 'romantic', 'chicken', 'stove-top', 'dietary', 'low-sodium', 'low-carb', 'low-in-something', 'meat', 'chicken-breasts', 'taste-mood', 'equipment', 'presentation', 'served-hot', '4-hours-or-less'] Nutrition: low-calories, low-sugar, low-sodium, high-protein, high-saturated fat, low-carbohydrates Ingredients:  'fresh lemon' Rating: 4.5","Name: forgotten  minestrone Minutes: 495 Ingredients: ['beef stew meat', 'water', 'tomatoes', 'beef bouillon cube', 'onion', 'dried parsley', 'salt', 'ground thyme', 'ground pepper', 'zucchini', 'cabbage', 'garbanzo beans', 'elbow macaroni', 'parmesan cheese'] Steps: ['in a slow cooker , combine the first nine ingredients', 'cover and cook on low for 7-9 hours or until meat is tender', 'add zucchini , cabbage , beans and macaroni', 'cook on high 30-45 minutes more or until the vegetables are tender', 'sprinkle individual servings with parmesan cheese']",5,": Name: chicken souvlaki Minutes: 255 Ingredients: ['boneless skinless chicken breast halves', 'olive oil flavored cooking spray', ""confectioners' sugar"", 'garlic cloves'] Steps: [""preheat oven to 350'f spray a large baking dish with olive oil spray and set aside in the oven for 15 minutes to allow the chicken to absorb the oil"", ""in a small bowl, combine the confectioner's sugar, garlic, and salt and pepper to taste and pour over chicken, making sure to coat evenly with the sugar mixture, so that it doesn't stick to the bottom of the dish, but not all the way up the sides, if you don't want it to stick, then you may need to add a little more sugar or salt to keep it from sticking together too much, or it will be too thick and dry out too quickly, depending on the size of your chicken pieces""]",5,"Tags: ['weeknight', 'time-to-make"", 'course', “main-ingredient' 'cisine', ""preparation',�cuisine-course' ', 'pre-prestige-café, 'casual-occasion','prepared-and-dish', '.poultry', '/french', ',european', `dinner-party', ['",0
5,"Tags: ['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'lunch', 'main-dish', 'pasta', 'american', 'easy', 'vegetarian', 'dietary', 'one-dish-meal', 'comfort-food', 'inexpensive', 'pasta-rice-and-grains', 'elbow-macaroni', 'taste-mood', 'from-scratch'] Nutrition: low-calories, low-total fat, low-sugar, low-sodium, high-saturated fat, low-carbohydrates Ingredients:  'milk' Rating: 4.0","Name: a bit different  breakfast pizza Minutes: 30 Ingredients: ['prepared pizza crust', 'sausage patty', 'eggs', 'milk', 'salt and pepper', 'cheese'] Steps: ['preheat oven to 425 degrees f', 'press dough into the bottom and sides of a 12 inch pizza pan', 'bake for 5 minutes until set but not browned', 'cut sausage into small pieces', 'whisk eggs and milk in a bowl until frothy', 'spoon sausage over baked crust and sprinkle with cheese', 'pour egg mixture slowly over sausage and cheese', 's& p to taste', 'bake 15-20 minutes or until eggs are set and crust is brown']",5,": Name: fettuccine alfredo Minutes: 30 Ingredients: ['pasta', 'olive oil flavored cooking spray', ""campbell's seasoned breadcrumbs"", 'garlic powder'] Steps: [""cook pasta according to package directions, drain and set aside in a bowl of cold water to stop the pasta from sticking to the bottom of the pan"", ""while pasta is cooking, heat olive oil in large nonstick skillet over medium-high heat, add bread crumbs and garlic powder and cook, stirring frequently, until crumbly, about 1 minute"", ', 'drain pasta and return to skillet', ', add pasta mixture, and toss to coat evenly with oil mixture and season with salt and pepper']",5,"Tags: ['30-minutes-or-less', 'time-to-make','course', ""main-ingredient' 'cuisine-a-course-of-scented-almond-dish-and-creamy-café-centred-elephant-eater-in-the-middle-continental-preparation', ', 'cacao-pasta',",0
6,"Tags: ['time-to-make', 'course', 'preparation', 'breads', 'quick-breads', '4-hours-or-less'] Nutrition: low-calories, low-total fat, high-sugar, low-sodium, low-protein, high-saturated fat, low-carbohydrates Ingredients:  'banana','butter', 'sugar', 'all-purpose flour' Rating: 0.0","Name: boat house  collard greens Minutes: 525 Ingredients: ['collard greens', 'brown sugar', 'molasses', 'hot sauce', 'whiskey', 'ham hock', 'salt'] Steps: ['put prepared greens in large pot', 'add water', 'bring to a boil , and boil for one hour', 'add sugar , molasses , hot sauce , whiskey , and ham hock', 'bring to a boil again , and boil for another hour', 'reduce heat and simmer for 4-6 hours', 'during the last hour of cooking , add a little salt to taste']",,": Name: cinnamon raisin bread Minutes: 70 Ingredients: ['all-purpose flour', 'baking powder', ""confectioners' sugar"",'salt', ', 'butter flavored shortening'] Steps: [""preheat oven to 350'f grease and flour a 9x5x3-inch loaf pan, or line with parchment paper or spray with nonstick cooking spray"", ""in a large bowl, sift together flour, baking powder, confectioner's sugar, salt, and melted butter, then stir into dry ingredients just until moistened, don't overmix or the batter will be lumpy, about 1 1 / 2 to 2 hours, depending on the size of your bread pan and the amount of flour you are using, but it will still be moist enough to spread out evenly in the pan to make a loaf that won't stick to the bottom of the loaf when it is done baking, if it does, you may need to add a little more flour if you want it to be a bit sticky, just be sure to mix the flour with the sugar and butter until you have a soft dough that will not stick together when baking the bread, it should not be too sticky when you do this, so be careful not to over-mix the dough too much or it may be tough to work with it, which will result in a tough dough, not too hard to knead it with a wooden spoon or a fork, until it comes together and forms a ball that is smooth and elastic, approximately 10 to 12 minutes, being careful to not overwork it as much as possible, this will take about 10 minutes', '(the dough should be very soft and sticky and will fall apart as it cools so you can handle it by lifting it out with your fingers, making sure it sticks to your finger', ""(if it doesn't, let it rest for a few minutes so it can rest on a wire rack for at least 30 minutes before slicing""]",,"Tags: ['time-to-make', 'course', ‘preparation',�breads', ""quick-bread-s"", '4-hours-or-less'] Nutrition: low-calories, no-total fat, high-carbohydrate, fat-free, zero-transfat, saturated-glycerol, sugar-sweetened-protein,",0
7,"Tags: ['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'south-west-pacific', 'main-dish', 'pasta', 'seafood', 'australian', 'salmon', 'fish', 'dietary', 'low-sodium', 'low-in-something', 'pasta-rice-and-grains', 'spaghetti', 'saltwater-fish'] Nutrition: low-calories, low-sugar, low-sodium, high-protein, high-saturated fat, low-carbohydrates Ingredients: 'spaghetti' Rating: 0.0","Name: forgotten  minestrone Minutes: 495 Ingredients: ['beef stew meat', 'water', 'tomatoes', 'beef bouillon cube', 'onion', 'dried parsley', 'salt', 'ground thyme', 'ground pepper', 'zucchini', 'cabbage', 'garbanzo beans', 'elbow macaroni', 'parmesan cheese'] Steps: ['in a slow cooker , combine the first nine ingredients', 'cover and cook on low for 7-9 hours or until meat is tender', 'add zucchini , cabbage , beans and macaroni', 'cook on high 30-45 minutes more or until the vegetables are tender', 'sprinkle individual servings with parmesan cheese']",5,": Name: fettuccine alfredo Minutes: 30 Ingredients: ['fettucini pasta', 'olive oil flavored cooking spray', ""confectioners' sugar"", 'garlic cloves'] Steps: [""cook pasta according to package directions, drain and set aside in a large pot of boiling salted water for 10 minutes, or until al dente, but don't overcook"", ""while pasta is cooking, heat olive oil in large nonstick skillet over medium-high heat until hot but not smoking, then add garlic and saute until garlic is fragrant, about 2-3 minutes more, stirring frequently, and add sugar, garlic, salt and pepper to taste, if using, just until sugar dissolves, stir in pasta and toss to coat evenly with sauce and serve immediately']",5,"Tags: ['30-minutes-or-less', 'time-to-make','course', ',main-ingredient', ""cuisine"", 'preparation', ‘south-west-pacific',�main-'dish-and-pasta''seafood', `",0
8,"Tags: ['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'main-dish', 'vegetables', 'dinner-party', 'meat', 'pasta-rice-and-grains', 'taste-mood'] Nutrition: low-calories, high-total fat, low-sugar, low-sodium, high-protein, high-saturated fat, low-carbohydrates Ingredients:  'chicken broth', 'celery' Rating: 4.0","Name: homemade  vegetable soup from a can Minutes: 12 Ingredients: ['low sodium chicken broth', 'diced tomatoes', 'zucchini', 'corn', 'potatoes', 'wax beans', 'green beans', 'carrots'] Steps: ['combine all ingredients in large pot', 'bring to a boil and simmer for 3 minutes', 'serve', 'i use the tomatoes that come flavored with basil , oregano , and garlic', 'you can substitute whatever vegetables you like', ""if you don't want to use the zucchini , add a can of tomato sauce to give it some substance""]",5,": Name: fettuccine alfredo Minutes: 50 Ingredients: ['fettucini pasta', 'olive oil', ""campbell's seasoned breadcrumbs"", 'garlic powder'] Steps: [""cook pasta according to package directions, drain and set aside in a large pot of boiling water for 10 minutes or until pasta is al dente, but still firm to the bite"", ""while pasta cooks, heat oil in large skillet over medium-high heat until hot but not smoking, then add bread crumbs and garlic powder and cook, stirring, until crumbly, about 2 minutes"", ', then transfer to a bowl and add pasta and toss to coat with breading mixture, season with salt and pepper, and serve immediately']",3,"Tags: ['60-minutes-or-less', 'time-to-make','course', ""main-ingredient', “preparation"", 'occasion', '/prepared-dish', ','vegetables',�dinner-party', '.meat-pasta-",0
9,"Tags: ['60-minutes-or-less', 'time-to-make', 'main-ingredient', 'preparation', 'seafood', 'easy', 'shrimp', 'shellfish'] Nutrition: low-calories, high-total fat, low-sodium, high-protein, high-saturated fat, low-carbohydrates Ingredients:  'shrimp', 'cucumber','orzo pasta', 'dijon mustard' Rating: 5.0","Name: big easy   gumbo Minutes: 68 Ingredients: ['vegetable oil', 'all-purpose flour', 'onion', 'green bell pepper', 'celery', 'creole seasoning', 'garlic cloves', 'low sodium chicken broth', 'cooked chicken', 'andouille sausage', 'frozen black-eyed peas', 'large raw shrimp'] Steps: ['heat oil in a large dutch oven over medium-high heat', 'gradually whisk in flour and cook , whisking constantly , 5 to 7 minutes or until flour is chocolate colored', 'do not burn mixture', 'reduce heat to medium', 'stir in onion and next 4 ingredients and cook , stirring constantly , 3 minutes', 'gradually stir in chicken broth', 'add chicken and next 2 ingredients', 'increase heat to medium-high and bring to a boil', 'reduce heat to low and simmer , stirring occasionally , 20 minutes', 'add shrimp and cook 5 minutes or just until shrimp turn pink', 'serve over hot rice']",5,": Name: bbq shrimp Minutes: 40 Ingredients: ['large shrimp', 'butter flavored cooking spray', ""confectioners' sugar"", 'balsamic vinegar'] Steps: [""preheat the oven to 350f spray a shallow baking dish with nonstick spray and set aside"", ""in a small bowl, combine the confectioner's sugar, vinegar, and vinegar and whisk until well blended, then pour over shrimp and toss to coat with the sugar-bake for 30-40 minutes, or until shrimp are cooked through and the sauce is thickened and bubbly""]",5,"Tags: ['60-minutes-or-less', 'time-to-make', “main-ingredient', ""preparation"",'seafood',�easy','shrimp', `shellfish'] Nutrition: low-calories, high-total fat, no-saturated fats, moderate-gluten, fat-free fatty acids",0
